time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0024205610382663106,0.00019878005686135288,9.997772009410067,0.06241585214553247,0.8005382960886864,0.0,-0.14260989724614698,0.011260912474380071,-0.09195365039560734,-0.6749839328591053,-2.2526876277985335,0.0,418.953860121998,-102.53611476155132,-475.01946348635124,-419.99116856077484
0.12000000000000001,-0.02326287861286505,0.0014102816000841224,9.983721051819478,0.029437940154279474,1.4371413568575528,0.0,-0.5788354396368575,0.02564103991306345,-0.4206694547124089,-0.9560636860150875,-4.465958562537958,0.0,427.3381208151485,-110.68200739758969,-446.8893765729653,-422.67080850855234
0.18,-0.07334781642186881,0.002982894477028208,9.941722408995695,6.261184851187226,1.7604743192391332,0.0,-1.0904227808136349,0.026408727899069166,-1.0076725931835422,-0.8184225689035467,-6.410924355375253,0.0,427.71312612365847,-123.69102157941738,-427.05708127511247,-437.71628561724293
0.23999999999999996,-0.1593560345546344,0.0046878291051609365,9.86356769862228,1.7831447257743083,2.5637594631250877,0.0,-1.7279585078759185,0.10528419465135051,-1.658161844423939,-7.865226990111697,-9.139862946818425,0.0,525.8727363479377,156.32082527621313,-730.4735342149057,80.88270453286636
0.3,-0.270792219870432,0.000453151310766671,9.752083546947391,2.972064202109369,2.5388091167363385,0.0,-1.9830281414870166,-0.1970982532550768,-1.9927779071463605,-11.078319643372032,-10.9715913887655,0.0,479.58632058546505,54.84530212306301,-561.0050450307622,-30.384429627587597
0.36000000000000004,-0.3996161731599605,-0.012680061564626173,9.628286984750485,3.1746345136097496,2.2084155505915355,0.0,-2.3287208547487297,-0.21899231100518946,-2.1463290544851725,-13.414825801019807,-12.434101900435563,0.0,485.22141857346566,6.329597240570343,-589.0293578013031,-194.54642316800394
0.4200000000000001,-0.5540786126035808,-0.024975631704336886,9.491110696211459,3.3117589857104637,1.6319963803629536,0.0,-2.839682932681071,-0.18503416851248636,-2.4697732433608115,-15.843274318105745,-13.504315944150841,0.0,489.1051593052028,33.07550918592795,-628.2540715472359,-134.26878740184978
0.48000000000000015,-0.7416646737890529,-0.03616666805633221,9.324332937196226,3.0395740697717013,0.8901678068712382,0.0,-3.3964707249338897,-0.19354825027795258,-3.149864474364756,-17.91026928560822,-14.209216062372509,0.0,487.8242498484674,46.64022636716039,-654.7433127424714,-95.03608592006849
0.5400000000000001,-0.9562826857931178,-0.04479180519134551,9.106387715177853,2.2412014558359328,0.05264306189374501,0.0,-3.7059657215295476,-0.03580826528021079,-4.134966744090004,-19.25164985751953,-14.579226685212564,0.0,478.690119012973,42.20169302977084,-659.3536871901541,-81.15226423042749
0.6000000000000002,-1.177412205231084,-0.033044984948541085,8.834264385246568,1.0895322850574551,5.460705107342244,0.0,-3.596570604311379,0.4372583727332361,-4.848634960593752,-19.474088726889498,-14.599219493662476,0.0,456.9365351621718,8.398116278536959,-626.7591784889881,-110.2556542432185
0.6600000000000003,-1.3842217434655977,-0.001217768630255715,8.527698540534143,2.4308218171739746,4.627914424995241,0.0,-3.2727804595511634,0.5979156401713249,-5.410242738379479,-15.697934055830927,-14.154061514731392,0.0,442.39111903410003,-158.3402790855477,-367.9635912717647,-301.64299079906743
0.7200000000000003,-1.5701787234235687,0.03324947609389225,8.186905677399029,1.6489301546026205,3.7782357061658587,0.0,-2.943744833047693,0.5069564813148154,-5.928410059044542,-14.78794195941122,-14.178733055264846,0.0,455.0895864304035,-99.51033964810928,-445.8971082842125,-186.5389756731265
0.7800000000000004,-1.7416198398698612,0.05427713457133735,7.814161089254802,0.8586387612854969,2.9401645411232025,0.0,-2.8103126933828295,0.17973369823879093,-6.537263764558835,-14.092019035213605,-13.961911702602722,0.0,435.39971749329584,-108.12141734174894,-432.2989036475521,-177.74358061056273
0.8400000000000004,-1.912591795108699,0.05944023538241365,7.399713364803743,0.23674231683418423,2.164913061629573,0.0,-2.9076893507277277,0.02506210261452725,-7.275077866707342,-13.00284442410914,-13.414228052015392,0.0,406.25375376912547,-142.6853684914543,-385.6246327569327,-212.52086334999436
0.9000000000000005,-2.0922540395503657,0.060294156830951115,6.941903284075259,6.027298043614067,1.4709872016402397,0.0,-3.104604283175224,0.01271560010665183,-7.981277297544704,-11.758026873949824,-12.664371174958466,0.0,378.1247593185792,-171.04357083996146,-343.4741402830029,-234.43112536842906
0.9600000000000005,-2.296683178574101,0.06066638546936408,6.4467920447103335,6.004819463213792,0.7376784393355571,0.0,-3.700673432624545,-0.012454224178527594,-8.462514204773566,-13.838112495884381,-13.130956648942064,0.0,451.7650561754685,98.50300762030118,-622.4278506834947,288.29360781641424
1.0200000000000005,-2.5345256962652667,0.05816542835056007,5.939666830817025,0.27135540635697364,6.237862945631002,0.0,-4.129447143205739,0.002629178732600608,-8.408498964549201,-16.761861581543496,-13.37689735972993,0.0,471.41126878034447,184.577947330759,-764.6444163426991,392.5391515676403
1.0800000000000005,-2.78198094994725,0.05914912339031443,5.420229847908873,1.120792084323412,5.434823278520881,0.0,-4.09675230398164,0.04258572850950082,-8.89266423327442,-13.514475646738573,-13.481666505173214,0.0,490.74133559135834,-240.65724158691546,-46.89488330218588,-40.14833379933786
1.1400000000000006,-3.025300959006181,0.06221730439102377,4.872193167114688,0.9327372901943125,4.922596690149652,0.0,-4.010353968439809,0.05417421209260348,-9.377404679668746,-11.653983011833496,-12.216920313140307,0.0,343.4548122539692,-211.38183433774347,-201.59789530525353,-122.66961874790444
